id,text,link,Appeal to authority,Appeal to fear/prejudice,Bandwagon,Black-and-white Fallacy/Dictatorship,Causal Oversimplification,Doubt,Exaggeration/Minimisation,Flag-waving,Glittering generalities (Virtue),Loaded Language,Misrepresentation of Someone's Position (Straw Man),Name calling/Labeling,"Obfuscation, Intentional vagueness, Confusion",Presenting Irrelevant Data (Red Herring),Reductio ad hitlerum,Repetition,Slogans,Smears,Thought-terminating cliché,Whataboutism,processed_text
63902,IT'S BEGINNING TO LOOK A LOT LIKE I TOLD YOU SO,https://www.facebook.com/photo/?fbid=1597720193931308&set=g.343971522678011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,its beginning to look a lot like i told you so
64429,BELIEVE IN YOURSELF.\nEVEN IF IT MEANS RIDING ON THE EDGE OF A LIGHTNING BOLT IN THE DANGER Z0NE OF THE KINGDOM OR MADNESS.\nJUST DIG IT\n,https://www.facebook.com/photo.php?fbid=304649301668971&set=pb.100063717099769.-2207520000..&type=3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,believe in yourself even if it means riding on the edge of a lightning bolt in the danger z0ne of the kingdom or madness just dig it
70706,"\COVID has taken this year - just since the outbreak-has\ntaken more than 100 year-look, here's the lives, it's just, it's just, I mean think about it - more lives this year than any other year.\\n-JOE BIDEN",,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,covid has taken this year  just since the outbreakhas taken more than 100 yearlook here is the lives its just its just i mean think about it  more lives this year than any other year joe biden
63895,"Fox News just asked what he'd do differently from Biden on Ukraine.\n\Well what I would do, is I would, we would, we have tremendous military capability and what we can do without planes, to be honest with you, without 44-year-old jets, what we can do is enormous, and we should be doing it and we should be helping them to survive and they're doing an amazing job.\\nDonald J. Trump",https://www.facebook.com/photo/?fbid=133469339244501&set=g.343971522678011,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,fox news just asked what he would do differently from biden on ukraine well what i would do is i would we would we have tremendous military capability and what we can do without planes to be honest with you without 44yearold jets what we can do is enormous and we should be doing it and we should be helping them to survive and they are doing an amazing job donald j trump
68900,"UNDER MY PLAN, IF A WHEEL FALLS OFF THE CANOE YOUR DOG HOUSE WILL BE FILLED WITH PANCAKES\n\nI'M JOE BIDEN\n\nAND I'M RUNNING FOR SENATE",https://www.facebook.com/Extortion17DemandaCongressionalHearing/photos/pb.100068927876265.-2207520000./1595585863928611/?type=3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,under my plan if a wheel falls off the canoe your dog house will be filled with pancakes i am joe biden and i am running for senate
66787,"IN 20,000 YEARS CHERNOBYL WILL BE SAFE AGAIN FOR HUMANS\n\nFUKUSHIMA WILL EVENTUALLY CONTAMINATE THE ENTIRE OCEAN.\nDO YOU GET IT NOW?",,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,in 20000 years chernobyl will be safe again for humans fukushima will eventually contaminate the entire ocean do you get it now
65126,"\WE'VE BEEN PATIENT, BUT OUR PATIENCE\nIS WEARING THIN AND YOUR REFUSAL HAS COST ALL OF US.\\n\nJOE BIDEN\nPRESIDENT",https://www.facebook.com/1640832309490921/photos/pb.100064536892614.-2207520000../3016347651939373/?type=3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,we have been patient but our patience is wearing thin and your refusal has cost all of us joe biden president
64407,"PAGAN ORIGINS OF THE CHRISTMAS TREE.\nThe Christmas tree is an ASHERAH, a sexual object with hidden symbols of male fertility.\n\nTHE TRUTH\nCHRISTMAS - The Truth is what matters (Gal 4:16), and while the first settlers of this nation were believers and followers of the Messiah, they did not observe \christmas\.\nIt was outlawed in all 13 colonies, because it was based on Paganism. The tree is interpreted originally by the occult as a phallus, the ornaments as testicles, and the tinsel as semen; the wreath is a vagina, and together they are fertility symbols.\n\nMerry Christmas all",https://www.facebook.com/photo.php?fbid=308464414620793&set=pb.100063717099769.-2207520000..&type=3,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,pagan origins of the christmas tree the christmas tree is an asherah a sexual object with hidden symbols of male fertility the truth christmas  the truth is what matters gal 416 and while the first settlers of this nation were believers and followers of the messiah they did not observe christmas it was outlawed in all 13 colonies because it was based on paganism the tree is interpreted originally by the occult as a phallus the ornaments as testicles and the tinsel as semen the wreath is a vagina and together they are fertility symbols merry christmas all
67051,THE RISE OF FEMINISED MEN\n\nATRAZINE IS A HERBICIDE THAT CHANGES YOUR GENDER\n\nScientist Tyrone Hayes discovered it changes the sexual orientation of frogs when the chemical was in the water\nThe drop in testosterone levels 1% each year since the 80's\nIt's sprayed on food & found in our drinking water,,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,the rise of feminised men atrazine is a herbicide that changes your gender scientist tyrone hayes discovered it changes the sexual orientation of frogs when the chemical was in the water the drop in testosterone levels 1 each year since the 80s its sprayed on food  found in our drinking water
65650,JOE BIDEN HAS BEEN PRESIDENT FOR TWO MONTHS AND ALREADY\n\nHE'S TAKEN MORE TRIPS ON AIR FORCE ONE THAN TRUMP DID,https://www.facebook.com/photo/?fbid=4150252675006076&set=g.633131750534436,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,joe biden has been president for two months and already hes taken more trips on air force one than trump did
70698,"Today is today, yesterday was today yesterday\n\nTomorrow will be today tomorrow.\nSo live today, so the future today will be as the past today.",,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,today is today yesterday was today yesterday tomorrow will be today tomorrow so live today so the future today will be as the past today
